S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
84,SIA/MP/MIN/567786/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274358/2026",Neelbad Murrum Quarry,MADHYA PRADESH,RAKESH NAGAR,Category: B1 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Under Examination,"Neelbad Murrum Quarry, is situated at Village: Neelbad, Tehsil: Huzur, District: Bhopal and State: Madhya Pradesh over an area of 3.700 Ha. Quarry Lease Principally Sanctioned to Rakesh Nagar by Office of the Collector (Mining Branch), District - Bhopal, M.P., with A Vide letter no. Kr./2396-97/Khanij/2023, District- Bhopal, dated 18.07.2023, for 10 years."
85,SIA/MP/MIN/567517/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274063/2026",Fulonda Stone Quarry,MADHYA PRADESH,chandra yadav,Category: B1 Sector: Non-Coal Mining Date of Submission: 31/01/2026,SEIAA,Standard ToR Granted,"The Proposed Fulonda Stone Quarry Site covers an Area of 2.00 hectare at Village-Fulonda, Tehsil- Kailaras, District- Morena, M.P. This Case belongs to the B1 category due to the proposed excavation area being a Cluster of Mines in this 500 m radius."
86,SIA/MP/MIN/559719/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/267086/2025","Karnawad Murrum, Stone Quarry for Gitti & M-Sand",MADHYA PRADESH,baba mines & stone crusher llp,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Standard ToR Granted,"The project is for mining of Murrum & Stone for M-Sand Quarry in Khasra No. 894/1/1, 894/1/2, 917/4, 917/5/1, 917/5/2, 918/4, 918/4/1 (Pvt. Land) situated in village Karnawad, Tehsil Bagli & District Dewas, (M.P.) over an area of 3.960 Ha. of M/s Baba Mines & Stone Crusher L.L.P. Partner Shri Rakesh S/o Shri Radheshyam Agrawal & Shru Dilip Agrawal S/o Shri Shrikirshan Agrawal"
87,SIA/MP/MIN/558115/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/242689/2025","PAVAN KUMAR SARAOGI, STONE QUARRY, AREA 2.0 HA BHOJPURA",MADHYA PRADESH,PAWAN SARAOGI,Category: B1 Sector: Non-Coal Mining Date of Submission: 20/01/2026,SEIAA,Under Verification,"STONE QUARRY, AREA 2.0 HA, VILL BHOJPURA, TEH. ORCHHA DIST. NIWARI CAPACITY 29000 CUM PER YEAR"
88,SIA/MP/MIN/567551/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/274057/2026",Amriti Laterite and Ochre Mine,MADHYA PRADESH,VIKAS MINERALS,Category: B1 Sector: Non-Coal Mining Date of Submission: 03/02/2026,SEIAA,EDS raised,"The proposed project is for mining of Laterite and Ochre from the lease area of 11.295 ha., located in Khasra No. 90, 88/1ka, 88/1/Kha-1, 88/1Kha-2, 88/1Kha-3, 88/1Kha-4, 88/2 Village- Amriti, Tehsil –Majhgawan, Distt-. Satna, Madhya Pradesh"
89,SIA/MP/MIN/565564/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271136/2026",SURKHI SAND QUARRY (3.00Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Surkhi Sand Quarry located in Village- Surkhi, Tehsil- Nainpur, District- Mandla, State- Madhya Pradesh over an area of 3.000 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method. The project falls under Schedule 1 (a) (i) of EIA "
90,SIA/MP/MIN/563675/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/251711/2025",Jamanya Jagir Murram & Stone,MADHYA PRADESH,PRATHVI INFRASTRUCTURE PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 13/01/2026,SEIAA,Under Verification,"Khasra no.-3, Area-3.900 Ha Village-Jmanya Jagir,Tehsil-Mhow, State- Madhya Pradesh"
91,SIA/MP/MIN/566066/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/272537/2026,Padariya Mal Metal Stone Quarry,MADHYA PRADESH,Prashant kumar mishra,Category: B2 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,EDS raised,"Village: Padariya Mal, Tehsil: Dindori, District: Dindori, State: Madhya Pradesh and Khasra No.-94, Maximum Production-8656 cubic meters per year"
92,SIA/MP/MIN/568104/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/274639/2026,Dinara Stone(Gitti) Quarry,MADHYA PRADESH,shri balaji stone crusher,Category: B2 Sector: Non-Coal Mining Date of Submission: 06/02/2026,SEIAA,Under Verification,"It is a stone quarry with a production capacity of 50,000 cubic meter per year gitti having a lease area of 4.00 hectares, previously EC was issued by DEIAA Shivpuri at Khasra No. 1063/1/1 Village Dinara, Tehsil Karera, District Shivpuri (M.P.). Now we are applying for fresh EC/Reappraisal in MP-SEIAA as per the Honourable NGT OA 142 of 2022 dtd 07-12-2022."
93,SIA/MP/MIN/565635/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270973/2026",DHAURGAON SAND QUARRY (4.700Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024, for grant of Dhaurgaon Sand Quarry located in Village- Dhaurgaon, Tehsil- Mandla, District- Mandla, State- Madhya Pradesh over an area of 4.700 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Semi Mechanized Opencast mining method. The project falls under Schedule 1 (a) "
94,SIA/MP/MIN/565583/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270872/2026",BARBASPUR JAR SAND QUARRY (1.300Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla, dated 23/12/2024 for grant of Mining Lease for Barbaspur Jar Sand Quarry located in Village- Barbaspur Jar, Tehsil- Mandla, District- Mandla, State- Madhya Pradesh over an area of 1.300 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Semi Mechanized Opencast mining method.The project fall"
95,SIA/MP/MIN/563343/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270412/2025",Baskhala Boulder Stone Mine,MADHYA PRADESH,associated builders & CONTRACTORS,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/02/2026,SEIAA,Under Verification,"Baskhala Boulder Stone Mine at Khasra No. 99, 167, Village: Baskhala, Tehsil: Kotma, District: Anuppur, State: Madhya Pradesh (Lease Area: 1.639 Ha.)"
96,SIA/MP/MIN/566332/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/246993/2025",Badagaon Stone Quarry (used for making Gitti by mechanical crushing) (Area - 1.43 ha.),MADHYA PRADESH,RANJAN GROVER,Category: B1 Sector: Non-Coal Mining Date of Submission: 22/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"The Project is located at Khasra No. – 198/1, 198/2 & 200 in Village- Badagaon, Tehsil – Barhi, District – Katni, Madhya Pradesh"
97,SIA/MP/MIN/561581/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/268831/2025","Khejra Budhu Murrum, Boulder & M-Sand Quarry",MADHYA PRADESH,sneha jain,Category: B2 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,EDS raised,"It is a Stone Quarry with a production Capacity of 6,002 Cu.mt/year Murrum, 3,001 Cu.mt/year Boulder and 11,004 Cu.mt/year M-Sand having an Area of 1.0 Hectare at Khasra No. - 142 (Govt. Land) Village- Khejra Budhu, Tehsil- Sagar, District- Sagar (M.P.)."
98,SIA/MP/MIN/564909/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271777/2026",Mehdawali Murram Quarry,MADHYA PRADESH,mana adiwasi,Category: B2 Sector: Non-Coal Mining Date of Submission: 06/02/2026,SEIAA,Under Verification,"It is a murrum quarry with a production capacity of 10000 m3/year murrrum having a lease area of 2.00 hectare, at Khasra No. 51 (Govt. land) Village - Mehdawali, Tehsil- Shivpuri, District- Shivpuri (M.P.)"
99,SIA/MP/MIN/564167/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/241691/2025",Barandwa Murrum and Stone Quarry For Gitti & M-Sand,MADHYA PRADESH,SHRUTI GARG,Category: B1 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,Under Verification,"The project is for mining of Murrum & Stone for Gitti and M-Sand Quarry in Khasra No. 1415/2/3,1417/2/1,1417/2/2,1417/1 situated in village Barandwa, Tehsil Tarana, District Ujjain , (M.P.) over an area of 2.990 Ha. of Shruti Garg D/o Shri Mukesh Garg."
100,SIA/MP/MIN/479612/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/188557/2024,Ghursal Limestone Mine 6.773 Ha,MADHYA PRADESH,SAGAR CEMENTS (M) PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 07/06/2024,SEIAA,DELISTED BY SYSTEM (at : ),Name change of the Company from Satguru Cement Private Limited to Sagar Cements(M) Private Limited
101,SIA/MP/MIN/554472/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/262514/2025,Bilarkho Soil Quarry Project,MADHYA PRADESH,SURESH KUMAR,Category: B2 Sector: Non-Coal Mining Date of Submission: 13/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"Project name – Bilarkho Soil Quarry, Area – 1.447 Ha., Khasra No. – 23/2 (Private land) Maximum Production Capacity: 2,000 cum/year of Soil."
102,SIA/MP/MIN/566446/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273099/2026","Sonthwa Stone (Boulder, Gitti & M-sand) Quarry",MADHYA PRADESH,SHRI KSHETRAPAL STONE CRUSHER,Category: B2 Sector: Non-Coal Mining Date of Submission: 22/01/2026,SEIAA,Under Verification,"Sonthwa Stone (Boulder, Gitti & M-sand) Quarry of 3.00 Hectare Area, Khasra No. 13 in Village – Sonthwa, Tehsil – Sheopur, District- Sheopur (M.P.) (Maximum Production – 30,000 Cubic Meter/Year) (Gitti- 15,000 m3, M-Sand -10,000 m3 , Boulder- 5,000 m3)"
103,SIA/MP/MIN/564791/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/188793/2024,Bekliya Limestone mine 95.00 ha,MADHYA PRADESH,SAGAR CEMENTS (M) PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 09/01/2026,SEIAA,EDS raised,Name change of the Company from Satguru Cement Private Limited to Sagar Cements (M) Private Limited
104,SIA/MP/MIN/567251/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/235055/2025",CHAUKA GITTI & M-SAND MINE,MADHYA PRADESH,kiran singh,Category: B1 Sector: Non-Coal Mining Date of Submission: 05/02/2026,SEIAA,Under Verification,"IT IS B-1 CATEGORY STONE/GITTI & M-SAND QUARRY PROJECT, PROJECT IS LOCATED AT SURVEY NO. 1559, IN VILLAGE CHAUKA, TEHSIL CHHATARPUR, DISTRICT CHHATARPUR, STATE MADHYA PRADESH, TOTAL MINE LEASE AREA - 2.00HA"
105,SIA/MP/MIN/563294/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270366/2025",RAWLAS-2 SAND QUARRY,MADHYA PRADESH,GIRISH KHANDWEKAR,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Standard ToR Granted,"The Madhya Pradesh State Mining Corporation Limited proposes for sand excavation from a quarry lease area measuring 4.000 hectares, located in Khasra No. 164, Rawlas Village, Khategaon Tehsil, Dewas District, Madhya Pradesh. The mining activity will be carried out using an open-cast manual method. The entire lease area lies on government land (river bed area) Narmada River. The proposed annual sand excavation quantity is 84,000 Cum/ Year"
106,SIA/MP/MIN/560876/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/268180/2025",Rajeev Nagar Murrum Quarry,MADHYA PRADESH,Vinay agrawal,Category: B2 Sector: Non-Coal Mining Date of Submission: 22/01/2026,SEIAA,EDS raised,"This is a murrum quarry located at village - Rajeev Nagar, Tehsil - Huzur, District - Bhopal (M.P.)"
107,SIA/MP/MIN/568149/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/235281/2025",NEEMKHEDA GITTI & M-SAND MINE,MADHYA PRADESH,KAYDEN MINES AND MINERALS PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 06/02/2026,SEIAA,Under Verification,"IT IS B-1 CATEGORY STONE AND M-SAND QUARRY PROJECT, PROJECT IS LOCATED AT SURVEY NO. 97/1, 97/2 IN VILLAGE NEEMKHEDA, TEHSIL NOWGAON, DISTRICT CHHATARPUR STATE MADHYA PRADESH, TOTAL MINE LEASE AREA - 2.900HA."
108,SIA/MP/MIN/563078/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270191/2025",Kasba Agar Stone Quarry,MADHYA PRADESH,baboo singh rathor,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Standard ToR Granted,"It is a Stone quarry with a production capacity of 10,000 m³/year Stone(Gitti) having a lease area of 2.00 hectares , previously EC was issued by DEIAA Agar Malwa at Khasra No.- 2329/1 (Govt. Land) Village - Kasba Agar, Tehsil- Agar, District- Agar Malwa (M.P.). Then we have applied a new application in Form-2 for fresh EC in SEIAA as per SEIAA policy decision taken in SEIAA agenda 766th Dated 11/01/2023 which is for 0 to 5 hectares whose application number is SIA/MP/MIN/505705/2024. As our mine"
109,SIA/MP/MIN/513824/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/225255/2024,Mau Stone Quarry Lease,MADHYA PRADESH,Sanjay Singh,Category: B2 Sector: Non-Coal Mining Date of Submission: 27/01/2026,SEIAA,Under Verification,"It is a stone quarry with a production capacity of 8320 cubic meters per year of Stone, having a lease area of 1.850 Ha. EC was issued by DEIAA Shahdol at Khasra no. 194 (Pvt. Land) Village- Mau, Tehsil- Beohari, and District- Shahdol (M.P.). Now we are applying for fresh EC in SEIAA as per the Honourable NGT OA 142 of 2022, dated 07/12/2022."
110,SIA/MP/MIN/565059/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271897/2026","Dodiyameena Stone (Gitti and M-Sand) Quarry; Quarry Lease Area- 2.0 ha, Production Capacity-Gitti- 15,000 Cubic meter per year and M-Sand- 5,000 Cubic meter per year at Khasra No.- 131, Village- Dodiyameena, Tehsil- Malhargarh, District- Mandsaur, State- Madhya Pradesh by Smt. Jyoti Kala",MADHYA PRADESH,JYOTI KALA,Category: B1 Sector: Non-Coal Mining Date of Submission: 19/01/2026,SEIAA,Standard ToR Granted,"Dodiyameena Stone (Gitti and M-Sand) Quarry is situated at Khasra No.- 131, Village- Dodiyameena, Tehsil- Malhargarh, Dist.- Mandsaur, State- Madhya Pradesh over an area of 2.0 Ha (Under Cluster Total area is 21.0 ha). LOI was issued by Office of the Collector, Mining Branch, Dist.-Mandsaur, Madhya Pradesh, LOI Order No.- क्रमांक 1779/खनिज/2016, मन्दसौर, दिनांक- 08/12/2016. Proponent proposed to the addition of production of M-Sand along with the Gitti production mentioned in LOI Order No.- क्रम"
111,SIA/MP/MIN/558175/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/242672/2025","PAVAN KUMAR SARAOGI STONE QUARRY, AREA - 4.0 HA, PRATAPPURA, NIWARI",MADHYA PRADESH,PAWAN SARAOGI,Category: B1 Sector: Non-Coal Mining Date of Submission: 20/01/2026,SEIAA,Under Verification,"ITS STONE QUARRY OF 4.0 HA, RUNNING MINE WITH CAPACITY 90000 CUM, PER YEAR, HAS OBTAINED EC FROM DEIAA AND CTO FROM MPPCB, APPLYING FOR REPPARAISAL OF EC AS PER GOVT. NOTIFICATION. THE CAPACITY APPLIED HERE IS 88000 CUM PER YEAR"
112,SIA/MP/MIN/564357/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/235817/2025","PURENAKARAN CRUSHER STONE, M-SAND & MURRUM QUARRY LEASE",MADHYA PRADESH,KUSHAL PATERIYA,Category: B1 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,Under Verification,"Purena Karan Crusher Stone, M Sand Quarry Deposit (LOI Vide letter no. Kr./840/Khanij/2024, Sagar Dated 11/07/2024) is situated at Khasra no- 4, Village- Purenakaran, Tehsil- Deori, District- Sagar, and State- Madhya Pradesh"
113,SIA/MP/MIN/564269/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271245/2026,TELIYA THAD STONE QUARRY,MADHYA PRADESH,KANHAIYA SHIVARA,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EDS raised,"This is a Teliya Thad Stone Quarry over an Area of 1.00 Hect, at Khasra no 192/1, Village- Teliya Thad, Tehsil -Khaknar, District-Burhanpur, (Madhya Pradesh). It's A transfer Case."
114,SIA/MP/MIN/564550/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271498/2026,Saykheda Crusher Stone Quarry,MADHYA PRADESH,DUTT STONE CRUSHERS,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EDS raised,Stone mining project.
115,SIA/MP/MIN/563293/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270365/2025",Nasipur Sand Quarry_6.40 ha,MADHYA PRADESH,OMKAR DUBEY,Category: B1 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,Proposal pulled back (withdrawn),"Sand Quarry on Dhanai River, Located at Khasra Nos.448, Nasipur Village, Keolari Tehsil, Seoni District, Madhya Pradesh. Total lease area is 6.40 ha."
116,IA/MP/MIN/479469/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/188373/2024,Badiya Limestone mine area 4.028 ha,MADHYA PRADESH,SAGAR CEMENTS (M) PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 07/06/2024,MOEFCC,DELISTED BY SYSTEM (at : ),Name change of the Company from Satguru Cement Private Limited to Sagar Cements(M) Private Limited
117,SIA/MP/MIN/563497/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/270559/2025,Transfer of Environmental Clearance - “EC issued vide letter No. 1082/SEIAA/18 dated 07.07.2018 in favour of Shri I. Patric Dhanraj Transferred to M/s Guruji Minerals Partner Manish Singh,MADHYA PRADESH,GURUJI MINIRALS,Category: B1 Sector: Non-Coal Mining Date of Submission: 28/01/2026,SEIAA,Referred to SEAC,"Ghondi Manganese Ore Mine over an area of 40.47 Hect; situated in Village Ghondi Tehsil, Paraswada, District Balaghat of Madhya Pradesh."
118,SIA/MP/MIN/563972/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270983/2026,KAMTA MAL SAND QUARRY (4.900Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Mining Lease for Kamta Mal Sand Quarry located in Village- Kamta Mal, Tehsil- Nainpur, District- Mandla, State- Madhya Pradesh over an area of 4.900 Ha area to Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method.The project falls under Schedule"
119,SIA/MP/MIN/567008/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273585/2026",Rojibe Stone Quarry-3.0 Ha,MADHYA PRADESH,shree balaji stone crasher,Category: B1 Sector: Non-Coal Mining Date of Submission: 29/01/2026,SEIAA,EDS raised,"Village- Rojibe, Tehsil- Huzur, District- Bhopal, State- Madhya Pradesh"
120,SIA/MP/MIN/566563/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/242266/2025",Rojana Stone (Gitti) Quarry Project by Ajay Baser,MADHYA PRADESH,Ajay kumar baser,Category: B1 Sector: Non-Coal Mining Date of Submission: 30/01/2026,SEIAA,EDS raised,"The proposed stone quarry, with a lease area of 1.00 hectares, was previously granted Environmental Clearance (EC) by DEIAA vide letter number 1554/DEIAA-DEAC/ 2018-19/Ratlam, dated 29/06/2018 at Survey No. 33/2, Village – Rojana, Tehsil – Jaora, District – Ratlam (MP). However, no production activities were undertaken under the earlier EC. Now we are applying for fresh EC with LOI issued by Collector (Khanij Shakha) Ratlam for mining of mineral vide letter no. 2339/Khanij/2022-23, Ratlam, dated"
121,SIA/MP/MIN/480387/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/189358/2024,Diyapipar Stone Quarry,MADHYA PRADESH,kunj minerals,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/01/2026,SEIAA,Under Verification,"It is a stone quarry with a Production capacity of 15180 cubic meters per year of Gitti, having a lease area of 1.500 Ha. EC was issued by DEIAA Shahdol at Khasra no. 90/1, 92 (Govt. Land) Village- Diyapipar, Tehsil- Gohparu, and District- Shahdol (M.P.). Now we are applying for fresh EC in SEIAA as per the Honourable NGT OA 142 of 2022, dated 07/12/2022."
122,IA/MP/RIV/557462/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/210675/2024",CHENTIKHEDA MAJOR IRRIGATION PROJECT,MADHYA PRADESH,Dinesh kumar ratnakar,Category: A Sector: River Valley and Hydroelectric Projects Date of Submission: 29/01/2026,MOEFCC,Under Examination,Irrigation Project
123,SIA/MP/MIN/558529/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/265989/2025",Tajpur Murrum & Stone Quarry for Gitti & M-sand,MADHYA PRADESH,laljiram,Category: B2 Sector: Non-Coal Mining Date of Submission: 01/02/2026,SEIAA,Under Verification,"The proposed mine site is for Murrum,Stone and M-sand having area 2.00 ha ,Khasra No. 77 VillageTajpur ,Tehsil and District Ujjain (M.P) ."
124,SIA/MP/MIN/567679/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274249/2026",Rangwasa Stone (Gitti & M-Sand Quarry,MADHYA PRADESH,LOKESH,Category: B1 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Under Examination,"The quarry Lease sanctioned to Lokesh vide letter no. 712 Indore, Dated:10/06/2016 and agreement was done for 10 years (from 15/06/2016 to 14/06/2026)."
125,SIA/MP/INFRA2/566104/2026,Clearance Type: Application for amendment in ToR (for categories A & B1)/Amendment in EC (for category B2)- Form-3 S/W No.: SW/272018/2026,"Acharya Shankar Museum – Advait Lok” Revision and Amendment of Site A-1 (Museum) and Site A-2 (Parking) at Khasra No. – 2/1 Part, 7/1, Village -Mandhata, Tehsil-Punasa, District-Khandwa, Madhya Pradesh by M.P State Tourism Development Corporation Limited",MADHYA PRADESH,M P STATE TOURISM DEVELOPMENT CORPORATION LIMITED,Category: B2 Sector: INFRA-2 Date of Submission: 02/02/2026,SEIAA,EDS raised,"The project involves revision and amendment of the Acharya Shankar Museum – ‘Advait Lok’, including modification of Site A1 (Museum) and Site A2 (Parking). The net plot area of Sites A1 and A2 is 2,09,020 m² (20.90 hectares), with a proposed built-up area of 52,753 m². Earlier, the project was granted EC under EC Identification No. EC22B038MP123334 dated 15.04.2022 for a plot area of 1,86,600 m² and a built-up area of 55,100.62 m². To initiate site development works, the Project Proponent obtain"
126,SIA/MP/MIN/565758/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/253152/2025","Proposed Expansion of Balaghat Manganese Ore Mining and Beneficiation plant (ML Area – 182.300 Ha.) from 0.5 Million TPA to 1.2983 Million TPA located at Village(s) Bharveli, Hirapur, Manegoan, Manjhara, Awalajhari and Tawejhari , Tehsil & District- Balaghat, State - Madhya Pradesh by M/s Manganese Ore (India) Ltd.",MADHYA PRADESH,MOIL LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 18/01/2026,SEIAA,EDS raised,"The project area is spread over 182.300 ha. The Existing rated capacity of the mine is 0.5 Million TPA of manganese ore. The present proposal envisages of ore production 1.2983 Million TPA without increase in project area. The geographical extends of mining lease area are: Latitude- 21°51'29.37"" N to 21°49'53.13"" N , Longitude 80°12'59.63"" E to 80°14'27.07"" E and is covered by Survey of India Toposheet No. 64 C / 1"
127,SIA/MP/MIN/565561/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270903/2026",Bakchheradona-3 Sand Quarry (1.400Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla dated 23.12.2024 for grant of Mining Lease for Bakchheradona-3 Sand Quarry located in Village- Bakchheradona, Tehsil- Mandla, District- Mandla, State- Madhya Pradesh over an area of 1.400 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Opencast semi-Mechanized mining method. The project fa"
128,SIA/MP/MIN/566994/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273575/2026",Rampuriya Stone(Gitti & M Sand) Quarry,MADHYA PRADESH,GOPAL CHOUDHARY,Category: B1 Sector: Non-Coal Mining Date of Submission: 28/01/2026,SEIAA,Standard ToR Granted,"It is a Stone Quarry with a production capacity of Stone(Gitti) 15,000 m3/year and M-Sand 40,000 m3/year having a lease area of 4.00 hectare at Khasra No. 375/6 (Govt. land) Village - Rampuriya, Tehsil- Ratlam, District- Ratlam (M.P.)"
